genus,epithet,voucher,outline,polarity,dispersal_unit,aperturate,ornamentation,saccate,operculate,annulate,aperture_type,aperture_number,l_polar_lat,l_equi_lat
Oreocarya,glomerata,R.C.B. 2067,circular,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Phacelia,humilis,R.C.B. 1354,polygonal,isopolar,monad,planaperturate,psilate,none,no,no,colpate,tri,,
Phacelia,sericea,R.C.B. 1427,polygonal,isopolar,monad,planaperturate,psilate,none,no,no,colpate,tri,,
Opuntia,basilaris,R.C.B. 1218,circular,isopolar,monad,none,lophate,none,no,no,porate,panto,,
Arenaria,nuttallii,R.C.B. 2094,circular,isopolar,monad,none,homobrochate,none,no,no,porate,panto,,
Sabulina,nuttallii,R.C.B. 1587,,,,,,,,,,,,
Sedum,lanceolatum,R.C.B. 2171,,,,,,,,,,,,
Arctostaphylos,patula,R.C.B. 1361,circular,heteropolar,polyad,none,psilate,none,no,no,porate,tri,,
Lupinus,argenteus,R.C.B. 2211,elliptic,isopolar,monad,none,reticulate,none,no,no,colporate,tri,,
Glycyrrhiza,lepidota,R.C.B. 2065,circular,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Lathyrus,lanszwertii,R.C.B. 2218,elliptic,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Lupinus,argenteus,R.C.B. 1287,elliptic,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Lupinus,lepidus,R.C.B. 1612,elliptic,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Senna,bauhinioides,R.C.B. 2243,elliptic,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Vicia,americana,R.C.B. 2209,elliptic,isopolar,monad,none,scabrate,none,no,no,colporate,tri,,
Geranium,richardsonii,R.C.B. 2202,triangular,isopolar,monad,angulaperturate,clavate/gemmate,none,no,no,colporate,tri,,
Phacelia,hastata,R.C.B. 1564,polygonal,isopolar,monad,planaperturate,psilate,none,no,no,colpate,tri,,
Scutellaria,antirrhinoides,R.C.B. 1328,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Linum,kingii,R.C.B. 1448,circular,isopolar,monad,none,bacculate,none,no,no,colpate,tri,,
Linum,lewisii,R.C.B. 1413,circular,isopolar,monad,none,bacculate,none,no,no,colpate,tri,,
Linum,lewisii,R.C.B. 2207,circular,isopolar,monad,none,bacculate,none,no,no,colpate,tri,,
Mentzelia,NA,R.C.B. 2268,circular,isopolar,monad,none,heterobrochate,none,no,no,porate,panto,,
Anticlea,elegans,R.C.B. 2145,elliptic,isopolar,monad,none,homobrochate/psilate,none,no,no,colpate,mono,,
Calyptridium,umbellatum,R.C.B. 1562,circular,isopolar,monad,none,bacculate,none,no,no,colpate,tri,,
Epilobium,clavatum,R.C.B. 2133,triangular,isopolar,polyad,none,psilate,none,no,yes,porate,tri,,
Epilobium,obcordatum,R.C.B. 2175,triangular,isopolar,polyad,none,scabrate,none,no,yes,porate,tri,,
Oenothera,californica,R.C.B. 1236,triangular,isopolar,polyad,none,scabrate,none,no,yes,porate,tri,,
Cordylanthus,ramosus,R.C.B. 2066,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Orthocarpus,luteus,R.C.B. 1744,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Diplacus,bigelovii,R.C.B. 1383,circular,isopolar,monad,none,bacculate,none,no,no,colpate,penta,,
Erythanthe,moschata,R.C.B. 1745,,,,,,,,,,,,
Penstemon,eriantherus,R.C.B. 2083,elliptic,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Penstemon,laricifolius,R.C.B. 2078,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Phlox,condensata,R.C.B. 1607,circular,isopolar,monad,none,homobrochate,none,no,no,porate,panto,,
Phlox,hoodii,R.C.B. 2013,circular,isopolar,monad,none,homobrochate,none,no,no,porate,panto,,
Polemonium,californicum,R.C.B. 2169,,,,,,,,,,,,
Polemonium,occidentale,R.C.B. 2048,circular,isopolar,monad,none,striate,none,no,no,porate,panto,,
Polemonium,pulcherrimum,R.C.B. 2157,circular,isopolar,monad,none,striate,none,no,no,porate,panto,,
Polygala,alba,R.C.B. 2258,circular,isopolar,monad,none,scabrate,none,no,no,porate,stephano,,
Eriogonum,crosbyae,R.C.B. 1362,elliptic,isopolar,monad,none,scabrate,none,no,no,colporate,tri,,
Polygonum,californicum,R.C.B. 1614,elliptic,isopolar,monad,planaperturate,homobrochate/psilate,none,no,no,colporate,tri,,
Androsacce,filiformis,R.C.B. 2043,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Androsace,septentrionalis,R.C.B. 1420,elliptic,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Delphinium,nuttallianum,R.C.B. 1309,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Ranunculus,acris,R.C.B. 2037,circular,isopolar,monad,none,bacculate/perforate,none,no,no,colpate,tri,,
Ranunculus,eschscholtzii,R.C.B. 1610,circular,isopolar,monad,none,scabrate,none,no,no,colpate,tri,,
Ranunculus,eschscholtzii,R.C.B. 2136,circular,isopolar,monad,none,scabrate,none,no,no,colpate,tri,,
Ranunculus,glaberrimus,R.C.B. 2003,circular,isopolar,monad,none,lophate,none,no,no,porate,panto,,
Ceanothus,prostratus,R.C.B. 1358,triangular,isopolar,monad,angulaperturate,psilate,none,no,no,colporate,tri,,
Potentilla,brevifolia,R.C.B. 2158,elliptic,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Potentilla,pulcherrima,R.C.B. 2205,elliptic,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
Prunus,virginiana,R.C.B. 1288,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Salix,NA,R.C.B. 1286,circular,isopolar,monad,none,homobrochate,none,no,no,colpate,tri,,
Salix,NA,R.C.B. 1293,circular,isopolar,monad,none,homobrochate,none,no,no,colpate,tri,,
Micranthes,odontoloma,R.C.B. 2135,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Erythronium,albidum,E.J.W. 1,elliptic,isopolar,monad,none,psilate,none,no,no,colpate,mono,,
Claytonia,virginica,E.J.W. 2,circular,isopolar,monad,none,scabrate,none,no,no,colpate,tri,,
Cardamine,douglasii,E.J.W. 3,elliptic,isopolar,monad,none,homobrochate,none,no,no,colpate,tri,,
Caulophyllum,thalictroides,E.J.W. 4,circular,isopolar,monad,none,scabrate,none,no,no,colpate,tri,,
Mertensia,virginica,E.J.W. 5,elliptic,isopolar,monad,heteroaperturate,psilate,none,no,no,colpate,tri,,
Jeffersonia,diphylla,E.J.W. 6,circular,isopolar,monad,none,psilate,none,no,no,colpate,tri,,
Uvularia,grandiflora,E.J.W. 8,elliptic,isopolar,monad,none,psilate,none,no,no,colpate,di,,
Helianthella,quinquenervis,none,circular,isopolar,monad,none,echinate,none,no,no,colporate,tri,,
Achillea,millefolium,none,circular,isopolar,monad,none,echinate,none,no,no,colporate,tri,,
Lathyrus,leucanthus,none,elliptic,isopolar,monad,none,psilate,none,no,no,colporate,tri,,
